,component,name,TF,log_odds,f1score,pvalue,precision,recall,TP,n_genes,n_tf,Regulator,Function,Category,threshold,PRECISE_name,Cam confidence,Cam note
27,27,UK-noise-3,,,,,,,,7,,,Accounts for unknown locus b4739,Biological Enrichment,0.080542145,,High,
28,28,NikR,nikR,inf,0.909090909,4.48E-16,1,0.833333333,5,5,1,nikR,Nickel homeostasis,Metal Homeostasis,0.150337891,NikR,High,
29,29,PurR-2,purR,5.736341856,0.333333333,4.39E-15,0.666666667,0.222222222,8,12,1,purR,Pyrimidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.067654044,PurR-2,High,
30,30,MetJ,metJ,7.311468854,0.647058824,3.65E-25,0.578947368,0.733333333,11,19,1,metJ,Methionine biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.05632883,MetJ,High,
31,31,CP4-57-prophage-2,,,,,,,,1,,,Accounts for CP4-57 prophage gene,Biological Enrichment,0.347443185,,High,
32,32,Lrp-1,lrp,4.325980812,0.217573222,7.27E-29,0.764705882,0.126829268,26,34,1,lrp,Amino acid and peptide transport,Amino Acid and Nucleotide Biosynthesis,0.059523062,Lrp,High,
33,33,NarP,narP,inf,0.571428571,1.78E-41,1,0.4,20,20,1,narP,Nitrate respiration,Energy Metabolism,0.069879435,NarL,Medium,
34,34,PurR-1,purR,6.317571759,0.566666667,1.33E-32,0.708333333,0.472222222,17,24,1,purR,Purine Biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.053946129,PurR-1,High,
35,35,ascBF,,,,,,,,4,,,Accounts for alternate PTS system,Carbon Source Utilization,0.098518028,,High,
36,36,UK-noise-4,,,,,,,,1,,,Accounts for b4727,Biological Enrichment,0.387778669,,High,
37,37,Cytochrome oxidase,,,,,,,,17,,,Electron Transport Chain,Energy Metabolism,0.058796526,ArcA-2,High,
38,38,RcsAB,rcsA;rcsB,5.62766723,0.384615385,2.79E-18,0.277777778,0.625,10,36,1,rcsA;rcsB,Colanic acid capsule formation,Structural Components,0.030540143,RcsAB,High,
39,39,GlcC,glcC,inf,0.923076923,7.17E-19,1,0.857142857,6,6,1,glcC,Glycolate catabolism,Carbon Source Utilization,0.121866642,GlcC,High,
40,40,Ile/Val,,,,,,,,6,,,Accounts for Ile/Val synthesis via AHAS-I,Amino Acid and Nucleotide Biosynthesis,0.092747709,,High,
41,41,UK-noise-5,,,,,,,,1,,,Accounts for b4605,Biological Enrichment,0.342778702,,High,
42,42,TCA cycle,,,,,,,,9,,,"Accounts for succinyl-CoA synthetase, acetyl-CoA",Energy Metabolism,0.090963263,,Medium,
43,43,Leucine,leuO,inf,0.347826087,2.53E-10,1,0.210526316,4,4,1,leuO,Branched-chain amino acid biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.185947281,Leu/Ile,High,
44,44,NrdR,nrdR,inf,0.8,8.61E-18,1,0.666666667,6,6,1,nrdR,Ribonucleotide reductase,Amino Acid and Nucleotide Biosynthesis,0.131139515,,High,
45,45,UK-noise-6,,,,,,,,1,,,,,0.364847702,,High,
46,46,Rac-prophage-1,,,,,,,,3,,,Accounts for ralR/ydaC,Biological Enrichment,0.071643252,,High,
47,47,FliA,fliA,7.280480951,0.563106796,1.27E-52,0.935483871,0.402777778,29,31,1,Sigma28,Chemotaxis,Structural Components,0.034569549,FliA,High,
48,48,Crp-2,crp,2.797989,0.37037037,8.05E-10,0.727273,0.0256,16,22,1,crp,Various carbon source catabolism,Carbon Source Utilization,0.05516873,Crp-2,High,
49,49,PhoP,phoP,4.838833816,0.32,1.55E-18,0.545454545,0.226415094,12,22,1,phoP,Low Mg/acid resistance response,Stress Response,0.063751782,,High,
50,50,SR-noise-3,,,,,,,,3,,,Accounts for short toxin ibsB,Biological Enrichment,0.068156293,,High,
51,51,UK-noise-7,,,,,,,,4,,,Accounts for unknown locuses,Biological Enrichment,0.078332075,,High,
52,52,Rac-prophage-2,,,,,,,,2,,,Accounts for lomR_2,Biological Enrichment,0.084745718,,High,
53,53,Molybdenum,,,,,,,,5,,,Accounts for molybdate transport,Metal Homeostasis,0.098830407,,High,
54,54,flhDC-expression,,,,,,,,2,,,Accounts for expression of flhDC regulator,Biological Enrichment,0.224029103,,High,
55,55,Zinc,zur/zntR,inf,0.7,2.81E-19,0.538462,1,7,13,2,zur or zntR,Zinc homeostasis,Metal Homeostasis,0.040162537,Zinc,High,
56,56,UK-noise-8,,,,,,,,4,,,,,0.182785817,,High,
57,57,CecR,cecR,inf,0.888888889,3.27E-13,1,0.8,4,4,1,cecR,Related to antibiotic sensitivity,Stress Response,0.146583373,CecR,High,
58,58,BirA,birA,inf,0.909090909,4.48E-16,0.833333333,1,5,6,1,birA,Biotin synthesis,Miscellaneous Metabolism,0.10366101,,High,
59,59,GalR+GalS,galR+galS,7.688684373,0.588235294,3.95E-13,0.714285714,0.5,5,7,2,galR and galS,Galactose transport and metabolism,Carbon Source Utilization,0.087258763,,High,
60,60,YieP,yieP,,,,,,,11,,,Unknown,Regulator Discovery,0.066002559,YieP,High,
61,61,pgi-KO,,,,,,,,5,,,Accounts for deletion of pgi,Genomic Alterations,0.092917791,,High,
62,62,Nac,nac,3.343228949,0.092783505,5.49E-19,0.794117647,0.049270073,27,34,1,nac,Nitrogen starvation response,Stress Response,0.060815863,Nac,High,
63,63,Fur-1,fur,5.738004962,0.226415094,8.12E-32,0.923076923,0.129032258,24,26,1,fur,Iron homeostasis,Metal Homeostasis,0.049896817,Fur-1,High,
64,64,Cytochrome-c,,,,,,,,6,,,Accounts for nrfABCD operon,Biological Enrichment,0.090410953,,High,
65,65,UK-noise-9,,,,,,,,1,,,Accounts for yafF,Biological Enrichment,0.336229945,,High,
66,66,UK-noise-10,,,,,,,,2,,,Accounts for ydbA_2,Biological Enrichment,0.094822745,,High,
67,67,BluR,bluR,inf,0.888888889,3.27E-13,0.8,1,4,5,1,bluR,Biofilm formation,Stress Response,0.089083447,,High,
68,68,uncharacterized-8,,,,,,,,7,,,Unknown Function,Uncharacterized,0.068042267,,High,
69,69,UK-noise-11,,,,,,,,2,,,Accounts for b3046_1,Biological Enrichment,0.088126049,,High,
70,70,UK-noise-12,,,,,,,,1,,,Accounts for b4753,Biological Enrichment,0.369833342,,High,
71,71,ECA,,,,,,,,17,,,Accounts for synthesis of enterobacterial common antigen,Biological Enrichment,0.065594895,,High,
72,72,RhaS,rhaS,inf,0.8,8.61E-18,0.666666667,1,6,9,1,rhaS,Accounts for synthesis of enterobacterial common antigen,Biological Enrichment,0.056544821,,High,
73,73,deletion-2,,,,,,,,108,,,Large deletion of 171 genes during evolution,Genomic Alterations,0.051295022,deletion-2,High,
74,74,fur-KO,,,,,,,,4,,,Accounts for fur knock-out,Genomic Alterations,0.093620397,fur-KO,High,
75,75,Qin-prophage-1,,,,,,,,2,,,Accounts for Qin prophage genes,Biological Enrichment,0.131846923,,High,
76,76,uncharacterized-2_1,,,,,,,,42,,,Unknown Function,Uncharacterized,0.051029159,uncharacterized-2,High,
77,77,lipopolysaccharide,,,,,,,,27,,,Lipopolysaccharide biosynthesis,Biological Enrichment,0.06164832,lipopolysaccharide,High,
78,78,ArcA-1,arcA,2.940964885,0.157009346,5.66E-27,0.677419355,0.088794926,42,62,1,arcA,Anaerobic response,Energy Metabolism,0.049101067,ArcA-1,High,
79,79,ins-elements-3,,,,,,,,17,,,Accounts for insertion fluctuation from ROS TALE,Biological Enrichment,0.086452732,,High,
80,80,RutR,rutR,5.25E+00,3.50E-01,7.57E-13,3.04E-01,4.12E-01,7.00E+00,23,1,rutR,Nitrogen starvation response,Stress Response,0.053193627,NtrC+RpoN,Medium,
81,81,Thiamine-2,TPP,7.100439623,0.526315789,1.93E-12,0.625,0.454545455,5,8,1,TPP,Thiamine biosynthesis,Miscellaneous Metabolism,0.107499244,,High,
82,82,SG-noise-1,,,,,,,,4,,,Accounts for ebgC,Biological Enrichment,0.080161482,,High,
83,83,UK-noise-13,,,,,,,,2,,,Accounts for b4610,Biological Enrichment,0.079344549,,High,
84,84,Qin-prophage-2,,,,,,,,6,,,Accounts for Qin prophage genes,Biological Enrichment,0.079960309,,High,
85,85,XylR,xylR,8.093462275,0.571428571,2.15E-15,0.428571429,0.857142857,6,14,1,xylR,Xylose catabolism,Carbon Source Utilization,0.073501679,XylR,High,
86,86,uncharacterized-9,,,,,,,,7,,,Unknown Function,Uncharacterized,0.07957036,,High,
87,87,Rac-prophage-3,,,,,,,,2,,,Accounts for Rac prophage genes,Biological Enrichment,0.261346993,,High,
88,88,TdcA/TdcR/CadC,tdcA/tdcR/cadC,10.579285,0.9,6.18E-26,0.9,0.9,9,10,3,tdcA and tdcR or cadC,"Threonine/serine transport, anaerobic",Amino Acid and Nucleotide Biosynthesis,0.080517255,,High,
89,89,ArgP,argP,5.044346351,0.292682927,8.81E-11,0.222222222,0.428571429,6,27,1,argP,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.067132249,,Medium,
90,90,FecI,Sigma19,inf,0.769230769,4.18E-15,0.625,1,5,8,1,Sigma19,Ferric citrate transport,Metal Homeostasis,0.087068865,FecI,High,
91,91,Rac-prophage-4,,,,,,,,1,,,Accounts for Rac prophage genes,Biological Enrichment,0.312731528,,High,
92,92,Rac-prophage-5,,,,,,,,3,,,Accounts for Rac prophage genes,Biological Enrichment,0.11207892,,High,
93,93,UK-noise-14,,,,,,,,4,,,Accounts for ygjH,Biological Enrichment,0.073035347,,High,
94,94,UK-noise-15,,,,,,,,1,,,Accounts for b0542_1,Biological Enrichment,0.348355619,,High,
95,95,RpoS,rpoS,2.437795183,0.245810056,8.77E-26,0.34375,0.191304348,44,128,1,Sigma38,General stress response,Stress Response,0.02804298,RpoS,High,
96,96,RstA/NarL,rstA/narL,5.383789,0.167832,2.21E-17,0.857143,0.093023,12,14,2,rstA and narL,Nitrate respiration,Energy Metabolism,0.068883016,NarL,High,
97,97,NanR,nanR,9.362660806,0.8,4.45E-22,0.888888889,0.727272727,8,9,1,nanR,Sialic acid transport and metabolism,Carbon Source Utilization,0.112091887,,High,
98,98,translation,,,,,,,,48,,,Enriched in translation machinery,Biological Enrichment,0.06445546,translation,High,
99,99,GlrR,glrR,inf,0.444444444,6.54E-11,0.285714286,1,4,14,1,glrR,Envelope homeostasis,Stress Response,0.076957942,,High,
100,100,Thiamine-1,TPP,inf,0.952380952,1.56E-29,1,0.909090909,10,10,1,TPP,Thiamine biosynthesis,Miscellaneous Metabolism,0.070386759,Thiamine,High,
101,101,e14-prophage-2,,,,,,,,2,,,Accounts for e14 prophage sequences,Biological Enrichment,0.120041159,,High,
102,102,CpxR,cpxR,3.827446678,0.295652174,5.97E-20,0.34,0.261538462,17,50,1,cpxR,Various stress responses,Stress Response,0.046355773,CpxR,High,
103,103,MalT,malT,inf,0.947368421,6.18E-27,1,0.9,9,9,1,malT,Maltose catabolism,Carbon Source Utilization,0.078444313,MalT,High,
104,104,KdpE,kdpE,inf,0.8,9.80E-13,0.666666667,1,4,6,1,kdpE,Potassium uptake,Metal Homeostasis,0.12346614,,High,
105,105,flu-yeeRS,,,,,,,,4,,,Genes in CP4-44 prophage,Biological Enrichment,0.055488872,flu-yeeRS,High,
106,106,Fimbriae,h-NS,inf,0.083832335,7.65E-11,1,0.04375,7,7,1,h-NS,Fimbriae assembly,Biological Enrichment,0.136819818,fimbriae,High,
107,107,FlhDC-2,flhD;flhC,4.712684225,0.327272727,2.57E-25,0.620689655,0.222222222,18,29,1,flhD;flhC,Flagella assembly,Structural Components,0.062400118,,High,
108,108,Fur-2,fur,5.154951903,0.323144105,2.17E-46,0.860465116,0.198924731,37,43,1,fur,Iron homeostasis,Metal Homeostasis,0.060890719,Fur-2,High,
109,109,uncharacterized-2_2,,,,,,,,63,,,Unknown Function,Uncharacterized,0.050708331,uncharacterized-2,High,
110,110,ibpAB,,,,,,,,2,,,Accounts for heat shock proteins,Biological Enrichment,0.183663977,,High,
111,111,uncharacterized-10,,,,,,,,40,,,Unknown Function,Uncharacterized,0.056701242,,Medium,
112,112,Leu/Ile,,,,,,,,7,,,Branched-chain amino acid biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.103685208,Leu/Ile,High,
113,113,UK-noise-16,,,,,,,,5,,,Accounts for b1506,Biological Enrichment,0.07600025,,High,
114,114,ypdB,ypdB,inf,1,0,1,1,1,1,1,ypdB,Accounts for yhjX transporter,Biological Enrichment,0.424581595,,High,
115,115,Fe-S Cluster,iscR,inf,0.315789474,9.29E-14,1,0.1875,6,6,1,iscR,Iron-sulfur cluster assembly,Biological Enrichment,0.149692075,,High,
116,116,PaaX,paaX,inf,0.727272727,9.01E-22,1,0.571428571,8,8,1,paaX,Phenylacetic acid degradation,Miscellaneous Metabolism,0.08352463,,High,
117,117,Cra,cra,4.998138175,0.169934641,8.04E-18,0.8125,0.094890511,13,16,1,cra,Central carbon metabolism,Carbon Source Utilization,0.049454411,Cra,High,
118,118,LsrR,lsrR,inf,0.941176471,2.70E-24,1,0.888888889,8,8,1,lsrR,Quorum-sensing,Stress Response,0.10981747,,High,
119,119,cpxR-KO,,,,,,,,20,,,Accounts for knockout of cpxR,Genomic Alterations,0.070220414,,High,
120,120,RpoH,rpoH,5.664070974,0.393063584,1.95E-48,0.871794872,0.253731343,34,39,1,Sigma32,Heat shock response,Stress Response,0.047036901,RpoH,High,
121,121,FhlA,fhlA,inf,0.421052632,1.76E-18,1,0.266666667,8,8,1,fhlA,Formate metabolism,Miscellaneous Metabolism,0.085849541,,High,
122,122,Polymixin resistance,,,,,,,,18,,,Genes involved in polymixin resistance,Biological Enrichment,0.069279301,,High,
123,123,EvgA,evgA,7.686391846,0.705882353,3.29E-28,0.75,0.666666667,12,16,1,evgA,Acid and osmotic stress response,Stress Response,0.054617384,EvgA,High,
124,124,LldR,lldR,inf,1,0,1,1,3,3,1,lldR,Lactate transport and metabolism,Carbon Source Utilization,0.20469621,,High,
125,125,insertion,,,,,,,,16,,,IS2 insertion element after laboratory evolution,Genomic Alterations,0.088596447,insertion,High,
126,126,ExuR/FucR,exuR/fucR,6.810464,0.588235,4.91E-22,0.625,0.555556,10,18,2,exuR or fucR,D-galacturonate and L-fucose catabolism,Carbon Source Utilization,0.060375526,ExuR/FucR,High,
127,127,ROS-del-1,,,,,,,,14,,,Accounts for ROS TALE gene deletions,Genomic Alterations,0.101680882,,Medium,
128,128,YgbI,ygbI,,,,,,,7,1,ygbI,Unknown Function,Regulator Discovery,0.078439236,YgbI,High,
129,129,CysB-2,cysB,5.809296825,0.524590164,4.59E-29,0.551724138,0.5,16,29,1,cysB,Inorganic sulfate assimilation,Amino Acid and Nucleotide Biosynthesis,0.049113829,CysB,High,
130,130,NagC,nagC,7.762755542,0.509803922,1.44E-27,0.928571429,0.351351351,13,14,1,nagC,N-acetylglucosamine catabolism and tyrosine biosynthesis,Carbon Source Utilization,0.067338332,NagC/TyrR,High,
131,131,NtrC,ntrC,inf,0.229508197,2.90E-14,1,0.12962963,7,7,1,ntrC,Nitrogen starvation response,Stress Response,0.091472949,,Medium,
132,132,membrane,,,,,,,,35,,,Enriched in membrane-bound proteins,Biological Enrichment,0.06231686,membrane,High,
133,133,GntR,gntR,9.99104045,0.869565217,1.03E-27,0.909090909,0.833333333,10,11,1,gntR,Gluconate catabolism and tyrosine biosynthesis,Carbon Source Utilization,0.074124422,GntR/TyrR,High,
134,134,Fnr-2,fnr,2.022115989,0.095785441,2.49E-11,0.462962963,0.053418803,25,54,1,fnr,Anaerobic response,Energy Metabolism,0.055402755,,High,
135,135,AllR,allR,8.382060517,0.705882353,2.41E-16,0.75,0.666666667,6,8,1,allR,"Allantoin, glyoxylate, L-arabinose, and L-fucose catabolism",Carbon Source Utilization,0.070099898,AllR/AraC/FucR,High,
136,136,PuuR,puuR,inf,0.933333333,1.31E-21,0.875,1,7,8,1,puuR,Putrescine catabolism,Miscellaneous Metabolism,0.120998077,PuuR,High,
137,137,AtoC,atoC,inf,1,0,1,1,4,4,1,atoC,Acetoacetate degradation,Miscellaneous Metabolism,0.170490182,AtoC,High,
138,138,SG-noise-2,,,,,,,,26,,,Accounts for small genes,Biological Enrichment,0.054044854,,High,
139,139,LexA,lexA,6.473427626,0.455696203,1.10E-32,0.857142857,0.310344828,18,21,1,lexA,Accounts for fur knock-out,Genomic Alterations,0.071160061,fur-KO,High,
140,140,ins-elements-4,,,,,,,,15,,,Accounts for insertion sequences,Biological Enrichment,0.096006622,,High,
141,141,uncharacterized-11,,,,,,,,17,,,Unknown Function,Uncharacterized,0.069799002,,High,
142,142,BW25113,,,,,,,,24,,,Transcriptional difference between BW25113 and MG1655,Genomic Alterations,0.05654893,BW25113,High,
143,143,UK-noise-17,,,,,,,,3,,,Accounts for b4733,Biological Enrichment,0.130542888,,High,
144,144,NDH-1,,,,,,,,8,,,Accounts for NADH:quinone oxidoreductase,Biological Enrichment,0.109997513,,High,
145,145,uncharacterized-12,,,,,,,,6,,,Unknown Function,Uncharacterized,0.069688553,,High,
146,146,PhoB-2,phoB,6.109016074,0.285714286,4.77E-18,0.833333333,0.172413793,10,12,1,phoB,Phosphorus uptake and metabolism,Miscellaneous Metabolism,0.081155698,,High,
147,147,GlpR,glpR,inf,1,0,1,1,9,9,1,glpR,Glycerol catabolism,Carbon Source Utilization,0.061883043,GlpR,High,
148,148,SR-noise-4,,,,,,,,1,,,Accounts for short toxin ibsD,Biological Enrichment,0.343691206,,High,
149,149,deletion-1,,,,,,,,40,,,Large deletion of 39 genes during evolution,Genomic Alterations,0.061807987,deletion-1,High,
150,150,crp-KO,,,,,,,,29,,,Accounts for crp knock-out,Genomic Alterations,0.064038147,crp-KO,High,
151,151,Fe-related,iscR,5.117763477,0.272727273,8.32E-11,0.5,0.1875,6,12,1,iscR,Related to iron metabolism,Biological Enrichment,0.102414631,iron-related,High,
152,152,FadR,fadR,6.810004624,0.555555556,9.06E-22,0.714285714,0.454545455,10,14,1,fadR,Fatty acid degradation,Miscellaneous Metabolism,0.069774623,FadR/IclR,High,
153,153,GutM/GutR,gutM/gutR,inf,0.923076923,7.17E-19,1,0.857142857,6,6,2,gutM or gutR,Sorbitol catabolism,Carbon Source Utilization,0.076560516,SrlR+GutM,High,
154,154,UK-noise-18,,,,,,,,3,,,Accounts for yibS,Biological Enrichment,0.088169187,,High,
155,155,Qin-prophage-3,,,,,,,,3,,,Accounts for genes in Qin prophage,Biological Enrichment,0.075930468,,High,
156,156,efeU-repair,,,,,,,,10,,,Accounts for repair and expression of efeU operon,Genomic Alterations,0.092929479,efeU-repair,High,
157,157,uncharacterized-13,,,,,,,,48,,,Unknown Function,Uncharacterized,0.053287797,,High,
158,158,UK-noise-19,,,,,,,,2,,,Accounts for yhcE_2,Biological Enrichment,0.083277936,,High,
159,159,GcvA,gcvA,8.78866966,0.666666667,2.86E-09,0.6,0.75,3,5,1,gcvA,Glycine cleavage system,Miscellaneous Metabolism,0.09480076,GcvA,High,
160,160,Cbl+CysB,cbl+cysB,inf,0.642857143,5.71E-23,0.473684211,1,9,19,2,cbl+cysB,Aliphatic sulfonate utilization,Miscellaneous Metabolism,0.048244882,Cbl+CysB,High,
161,161,SG-noise-3,,,,,,,,1,,,Accounts for maltose transporter,Biological Enrichment,0.421975959,,High,
162,162,NarL,narL,3.620863284,0.242424242,5.93E-21,0.476190476,0.162601626,20,42,1,narL,Nitrate/anaerobic response,Energy Metabolism,0.054054686,,High,
163,163,Lrp-2,lrp,inf,0.075117371,2.02E-11,1,0.03902439,8,8,1,lrp,Related to iron metabolism,Biological Enrichment,0.099254948,iron-related,Medium,
164,164,Qin-prophage-4,,,,,,,,2,,,Accounts for Qin prophage genes,Biological Enrichment,0.271950196,,High,
165,165,Pyruvate,,,,,,,,3,,,Pyruvate transport and metabolism,Carbon Source Utilization,0.083346194,Pyruvate,High,
166,166,CsqR,csqR,,,,,,,10,1,csqR,Sulfoquinovose catabolism,Miscellaneous Metabolism,0.088750144,CsqR,High,
167,167,UK-noise-20,,,,,,,,2,,,Accounts for b4737,Biological Enrichment,0.092663767,,High,
168,168,e14-deletion,,,,,,,,14,,,Removal of e14 prophage,Genomic Alterations,0.069841422,e14-deletion,High,
169,169,IclR,iclR,inf,0.857142857,2.86E-10,1,0.75,3,3,1,iclR,Glyoxylate bypass,Energy Metabolism,0.190627737,,High,
170,170,SR-noise-5,,,,,,,,2,,,Accounts for short protein yqeL,Biological Enrichment,0.083206828,,High,
171,171,uncharacterized-14,,,,,,,,3,,,Unknown Function,Uncharacterized,0.155509597,,High,
172,172,NsrR,nsrR,4.606868743,0.150537634,1.94E-10,0.636363636,0.085365854,7,11,1,nsrR,Nitric oxide response,Energy Metabolism,0.076260813,nitrate-related,High,
173,173,SR-noise-6,,,,,,,,2,,,Accounts for ylbL,Biological Enrichment,0.083043652,,High,
174,174,UK-noise-21,,,,,,,,2,,,Accounts for b0322,Biological Enrichment,0.082793927,,High,
175,175,ArgR,argR,6.042610425,0.28,2.26E-31,0.913043478,0.165354331,21,23,1,argR,Arginine biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.046375476,ArgR,High,
176,176,curli,rstA,inf,0.666666667,1.88E-14,1,0.5,5,5,1,rstA,Curli assembly,Biological Enrichment,0.086621202,curli,High,
177,177,RbsR,rbsR,inf,0.714285714,9.41E-15,1,0.555555556,5,5,1,rbsR,D-ribose catabolism,Carbon Source Utilization,0.131569779,RbsR,High,
178,178,duplication-1,,,,,,,,90,,,Large duplication of 129 genes during evolution,Genomic Alterations,0.062278829,duplication-1,High,
179,179,Fnr-1,fnr,3.354816,0.114625,2.01E-21,0.763158,0.061966,29,38,1,fnr,Anaerobic response,Energy Metabolism,0.05086955,Fnr,High,
180,180,UK-noise-22,,,,,,,,1,,,Accounts for yfaH,Biological Enrichment,0.3395016,,High,
181,181,cspBG,,,,,,,,3,,,Accounts for cold shock proteins,Stress Response,0.109206962,,Medium,
182,182,YneJ,yneJ,,,,,,,9,1,yneJ,Unknown Function,Regulator Discovery,0.08644344,YneJ,High,
183,183,OxyR,oxyR,4.804815563,0.368421053,2.22E-21,0.482758621,0.29787234,14,29,1,oxyR,Peroxide reductases,Stress Response,0.050398579,OxyR,High,
184,184,ZraR,zraR,inf,1,0,1,1,3,3,1,zraR,Envelope/high Zn response,Stress Response,0.076302516,,Medium,
185,185,Tryptophan,trpR,7.163602628,0.571428571,1.20E-18,0.727272727,0.470588235,8,11,1,trpR,Tryptophan Biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.083769806,Tryptophan,High,
186,186,FlhDC-1,flhD;flhC,7.093322824,0.611570248,4.53E-65,0.925,0.456790123,37,40,1,flhD;flhC,Flagella assembly,Structural Components,0.042893732,FlhDC,High,
187,187,UK-noise-23,,,,,,,,1,,,Accounts for ykgR,Biological Enrichment,0.37232087,,High,
188,188,asr,,,,,,,,2,,,Acid shock protein ,Biological Enrichment,0.273385385,,High,
189,189,ppGpp,,,,,,,,81,,,ppGpp regulated genes,Biological Enrichment,0.045690943,uncharacterized-5,High,
190,190,RcnR,rcnR,,,,,,2,2,1,rcnR,Nickel/cobalt homeostasis,,0.170962129,,Medium,
191,191,Copper,yedW,6.588697199,0.5,8.69E-14,0.5,0.5,6,12,1,yedW,Copper homeostasis,Metal Homeostasis,0.041714665,Copper,High,
192,192,SoxS,soxS,4.734825872,0.428571429,7.33E-47,0.313043478,0.679245283,36,115,1,soxS,Oxidative stress response,Stress Response,0.029061147,SoxS,High,
193,193,narZ,,,,,,,,6,,,Accounts for nitrate reductase Z,Biological Enrichment,0.105186478,,Medium,
194,194,His-tRNA,histidine,inf,1,0,1,1,8,8,1,histidine,Histidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,0.164449508,His-tRNA,High,
195,195,uncharacterized-1,,,,,,,,45,,,Unknown Function,Uncharacterized,0.042815397,uncharacterized-1,High,
196,196,Spermidine,spermidine,inf,0.714285714,9.41E-15,0.555555556,1,5,9,1,spermidine,Polyamine synthesis,Amino Acid and Nucleotide Biosynthesis,0.10463277,,High,
